,Bank_Name,USD_Billion,GBP_Billion,EUR_Billion,NPR_Billion
0,JPMorgan Chase,432.92,342.01,402.62,57496.11
1,Bank of America,231.52,182.9,215.31,30748.17
2,Industrial and Commercial Bank of China,194.56,153.7,180.94,25839.51
3,Agricultural Bank of China,160.68,126.94,149.43,21339.91
4,HDFC Bank,157.91,124.75,146.86,20972.03
5,Wells Fargo,155.87,123.14,144.96,20701.09
6,HSBC Holdings PLC,148.9,117.63,138.48,19775.41
7,Morgan Stanley,140.83,111.26,130.97,18703.63
8,China Construction Bank,139.82,110.46,130.03,18569.49
9,Bank of China,136.81,108.08,127.23,18169.74
